negative,positive
Am I really the only one who's annoyed that YouTube got rid of Music tab? I loved that tab :(,"@scoobs1969 Thank you very much for your kind words, I'll be sure to pass them on to the team! :)"
If I get my UCAS email today I can't even get onto Track because it's down for 3 days :(,@YaelAPeer @MatthiasLissner @CarlHamlet @NikkiElizDemere @KikiSchirr @preslavrachev Nice to connect with you Yael :)
i miss u bigtime!!!... :(,first driving lesson in 10 months - let's see if i'm still shit :)
"Just another rumor :(

#ZaynIsComingBackOnJuly26",@clairyworld4  EN MIS MANOS. holding it in my hands :)
"This woman just gave me the warmest greeting, w a chin tickle even, but I think she has the wrong girl :(",@zoyaashk true that :)
":( ♫ Sad by @maroon5 (with zikra, Lusi, and Hasya) — https://t.co/1zKAnQbheZ",When the managers at your job tell you and your friend that you are the two prettiest girls there :) :) :) :) :) :) :)
@_irwinstagram I've been trying for so long for a Dylan solo DM :(,"@rosehut1 And thank you to wonderful readers like you, Rose, who make it all worthwhile. Have a lovely weekend. :)"
want chicken nuggets again :(,@extinctlwt fback? :)
@ilykmh soms lu :(((,Stats for the day have arrived. 1 new follower and NO unfollowers :) via http://t.co/0s8GQYOeus.
City :(,"U cant change how people feel about u so dnt try , just live ur life and  be happy :)"
@angelhairhes please fra choose me this time :(,@Wanli_Minho he said i'm his ideal type in weekly idol and make a love pose for me &gt;&lt; i will tell him if i meet him. Don't worry :)
@DJ_Browning I'm going to the Olympic stadium tonight in the rain :(,@studiomister Thanks. Going to take me some time to create a shortlist out of that :) Much appreciated
@indiaquinn I didnt see your/ millie's guinea pigs :((,Great to have him as part of the awesome #Dominion family :) https://t.co/sLmo2Voxzx
lewis has about 748292 songs we'll never hear :(((,I'm really excited for our picnic tmrw :-)
@JoshMight69Her ur in LA :(,Nobody :) likes :) me :)
and ano 22stans :(,"#JummaMubarak To every one :) 
Take a shower, wear good #ShalwarKameez have a #Itter on it Offer #JummaPrayer,... http://t.co/AuRAAMlpji"
CAN SOMEONE WATCH PAPER TOWNS WITH ME :-(,@cl_aus is this on the back of the camera? If so you have AF point display enabled. @glyndewis's company car :-) http://t.co/pJltRVVBHn
"@wayhomefestival security won't let us in, say we have to wait until 9...website says entry 24/7 for camping. :(:(:(",@DiongzonS  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :)
Thankyou sa treat kanina and sorry sa breakdown bc of Sir Mags :(( @ZAIRERR,I'm breaking out but what's new :-)
Hateeeee time apart :(,@jaimestein @nicolevanzanten @amberturnau woot!! Cool peeps :)
Me too :-( https://t.co/0jypXAWkx4,Hey Tweeps Join #FlipkartFashionFriday and Folow @BhaktisBanter and win 2K :)
@proflayla least not lease. Just posted without looking back for what I have written. In hurry to finish my lunch :(,"@kassi_grace Ohhh, got it :p"
First attempt at sizing up to 6g's was unsuccessful &amp; now my lil earlobes hurt :(((,"Here's a teaser of the upcoming AIRecs 009 release ""Acid Mouse EP"" out 31st of August, including Red Robin &amp; Rough Control remixes :))"
A shame that Rock City worked on that. :-(,@Gurmeetramrahim #MyPapaMyPride #OurDaughtersOurPride your love n encourage changing the life of everyone :)
@cpdigdarkroom worst news all day :(,@GaryKeywood @DIY_OE @travelshopgirl @2wksinCR @constantramble @bizarreglobehop Happy Friday all and thanks for the recent RTs &amp; faves! :)
Sad today is girls day goodbye stage :(,Toss ladies! :)) @mulanbilqis @NK_Asmita
"@peacemakeruk Yes, Sue. It is a bit dreary isn't it? :(",@TheUwagaPies @SharlaInJapan welcome🐑 :)
@selenagomez noooooo I wasn't online when u were tweeting fans :(,@MonicaTerryEM I'll have a look in the library and book stores first anyway! :)
where's denise i miss her :(,@MizzChuff Mr2 climbed up to give me a cuddle. :)
"I’d really like to handle Murielle Ahouré’s PR/Brand Image. She’s  missing too many opportunities
 :(",#Jilla Decent Opening &amp; Reviews :))
Euuuwwww @Andile_SS Lunch. Like a real construction worker :-( http://t.co/utDMqr0aAV,@NoraFrost the @therevnate is headlining in 2017 :)
"@horan_lyra done, please me :(",Jumma Mubarik to all of you :) Stay Happy and Blessed :)
@sophiasam013 @leiwaleyn i hate you both :((((,@vespera9 @moirae_ @nbhdmadi @akpayne15 @caitiiiii @tiffanymichels  I spent a half hour total on this.:-)
